"PUBLIC TRANSPORT STATISTICS OF NAKURU COUNTY, KENYA DATA PORTAL ",,,,,,,,
Time,Road Transport,"PanelVans,Pick-ups",MiniBuses/Matatu,Total Motor Cycles,Matatus (0-14 seaters),Buses ( 34 and above seaters),Mini Buses1 (15-33 seaters),Buses and Coaches 
Units,KSh millions,Number,Number,Number,Number,Number,Number,Number 
2013," 70,118 "," 806 "," 128 "," 6,560 "," 1,705 "," 697 "," 499 "," 73 "
2014," 86,229 "," 897 "," 125 "," 7,288 "," 2,038 "," 846 "," 516 "," 72 "
2015," 88,697 "," 992 "," 106 "," 9,402 "," 2,343 "," 996 "," 609 "," 88 "
2016," 100,938 "," 1,038 "," 96 "," 10,470 "," 2,827 "," 1,145 "," 636 "," 92 "
2017," 106,038 "," 1,085 "," 91 "," 13,195 "," 2,863 "," 1,304 "," 669 "," 93 "
2018," 125,356 "," 1,146 "," 79 "," 14,395 "," 3,276 "," 1,287 "," 795 "," 108 "
2019," 137,908 "," 1,039 "," 196 "," 18,187 "," 3,907 "," 929 "," 762 "," 133 "
2020," 129,920 "," 545 "," 98 "," 17,956 "," 2,695 "," 677 "," 569 "," 88 "
2021," 164,650 "," 624 "," 86 "," 24,154 "," 3,047 "," 1,346 "," 1,244 "," 92 "
2022," 229,223 "," 1,228 "," 101 "," 11,618 "," 1,165 "," 1,211 "," 1,367 "," 233 "
2023," 236,913 "," 1,459 "," 99 "," 5,361 "," 1,241 "," 1,344 "," 1,270 "," 196 "
2024," 245,739 "," 590 "," 92 "," 5,114 "," 1,128 "," 646 "," 1,207 "," 100 "
